Empty Slots,Free Bikes,Renting Bikes,Returning Bikes,Latitude,Longitude,Foursquare POIs,Yelp POIs,Rating,Review Count
10,1,1,1,0.0,0.0,0,0,0.0,0
13,1,1,1,0.0,0.0,0,0,0.0,0
21,6,1,1,0.0,0.0,0,0,0.0,0
17,2,1,1,0.0,0.0,0,0,0.0,0
11,12,1,1,0.0,0.0,0,0,0.0,0
17,0,1,1,0.0,0.0,0,0,0.0,0
5,5,1,1,0.0,0.0,0,0,0.0,0
3,11,1,1,0.0,0.0,0,0,0.0,0
10,4,1,1,0.0,0.0,0,0,0.0,0
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
0,0,0,0,-8.047569,-34.897101,4be5a8decf200f47b881133c,5VIe3yjg05FEkUT1VOLQ4w,4.5,9
