,Id,Name,Empty Slots,Address,Last Updated,Payment,Payment Terminal,Renting Bikes,Returning Bikes,Uid,Free Bikes,Latitude,Longitude,Timestamp
0,3a12e401773eb68091d8f135f716b15e,56 - R. Bernardino Soares da Silva,10,"Rua Bernardino Soares da Silva, em frente ao número 50 / esquina com Rua Quarenta e Oito",1663718342,"['key', 'transitcard', 'phone']",False,1,1,56,1,-8.04438900000001,-34.890618,2022-09-21T00:01:38.258000Z
1,ce4c3fbb4b69f5847fc5e909844e45fe,77 - Praia da Casa Caiada,2,"Av Ministro Marcos Freire, na baia de estacionamento oposta ao número 2585 / próximo a Rua Jorn. Luís Andrade",1663718432,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,77,15,-7.988542,-34.838358,2022-09-21T00:01:38.303000Z
2,b47c4c3313ba0d36ca5dfb0326b899ea,62 - Prof. José Brandão,20,"Av. Boa Viagem, baia de estacionamento em frente ao número 2632",1663718495,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,62,4,-8.113701,-34.890987,2022-09-21T00:01:38.283000Z
3,d58c5b99349298a0b65454d1ea8e7e2f,63 - Padre Carapuceiro,23,"Av. Boa Viagem, Baia de estacionamento oposta ao n° 3574",1663718304,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,63,2,-8.12068499999999,-34.89528,2022-09-21T00:01:38.284000Z
4,074755e587a983af78f40c2e5d5216bd,66 - Rua Eng. Antônio Jucá,13,"Av Beira Mar, próximo a Rua Engenheiro Antônio Jucá",1663718405,"['key', 'transitcard', 'phone']",False,1,1,66,2,-8.167407,-34.913836,2022-09-21T00:01:38.286000Z
5,d6a6409c8d8f12825b2bbe926d7ad831,67 - Shopping Guararapes,8,Av Ayrton Senna da Silva no canteiro central oposto ao número 1522 (Posto de Gasolina Total) / próximo da Rua Arão Lins de Andrade,1663718011,"['key', 'transitcard', 'phone']",False,1,1,67,11,-8.166161,-34.915633,2022-09-21T00:01:38.287000Z
6,64a76fe1bb9ece3943dfa7245fe68e43,69 - Praça Massangana,14,"Praça Massangana, em frente ao cruzamento  Av Zequinha Barreto com Av. Ulisses Montarroyos",1663718288,"['key', 'transitcard', 'phone']",False,1,1,69,3,-8.15737819999999,-34.9159162,2022-09-21T00:01:38.287000Z
7,0c9d8534acea4b26710617646678d5f1,80 - Restaurante Universitário UFPE,19,"Avenida dos Funcionários, próximo ao Restaurante dos Universitários",1663718473,"['key', 'transitcard', 'phone']",False,1,1,80,12,-8.050534,-34.953219,2022-09-21T00:01:38.271000Z
8,72344ece63cb69be703826620ec5bcf3,65 - Parque Dona Lindú,24,"Av. Boa Viagem, baia de estacionamento em frente ao Parque Dona Lindú",1663718009,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,65,3,-8.142092,-34.903593,2022-09-21T00:01:38.285000Z
9,bf98c2a7b073ac18bfb79638f1905dcc,76 - R. Dr. Manoel de Barros Lima,4,"Av Ministro Marcos Freire, na calçada oposto ao número 1755 / próximo a Rua Dr Manoel de Barros Lima",1663718350,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,76,12,-7.996463,-34.838687,2022-09-21T00:01:38.304000Z
10,1842dd19423c073fd56bb24ef5e2aa6a,75 - Alberto Lundgren,13,"Av Ministro Marcos Freire, na calçada oposto ao número 1065 / próximo a Rua Alberto Lundgren",1663718372,"['key', 'transitcard', 'phone']",False,1,1,75,1,-8.00234899999999,-34.839632,2022-09-21T00:01:38.304000Z
11,3ac580d4f2bcb1c81f91b88b2df5ee0b,73 - Praça Doze de Março,6,Praça Doze de Março / esquina com R. Cel. Henrique Guimarães,1663718489,"['key', 'transitcard', 'phone']",False,1,1,73,5,-8.00978400000001,-34.84241,2022-09-21T00:01:38.306000Z
12,bc386f9befa89b9e501ca73119bc8411,72 - Praça do Carmo,14,Praça do Carmo / esquina Av. Sigismundo Gonçalves e Av. Liberdade,1663718406,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,72,7,-8.016776,-34.848363,2022-09-21T00:01:38.306000Z
13,b3aba90264bafe9dfc2e4f70f0d4225b,71 - Mercado Eufrásio Barbosa,6,Largo do Varadouro / esquina com Av Sigismundo Gonçalves,1663718414,"['key', 'transitcard', 'phone']",False,1,1,71,10,-8.020279,-34.85384,2022-09-21T00:01:38.307000Z
14,91fa947d491d2837f8bcb83a31723f72,70 - Metrô Monte dos Guararapes,23,Rua São João em frente à estação de metrô Monte dos Guararapes / esquina com Av Zequinha Barreto,1663718433,"['key', 'transitcard', 'phone']",False,1,1,70,0,-8.15430500000001,-34.91978,2022-09-21T00:01:38.307000Z
15,b423f828ae3d85c6ad12ffcc1aa764a9,74 - Posto Polo Pina,20,"Av. Boa Viagem, ao lado do número 30",1663718290,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,74,3,-8.09197638813694,-34.882264015557396,2022-09-21T00:01:38.305000Z
16,eb34885db2879d26c3bb92363d7016ee,54 - Venezuela,9,Rua Venezuela oposto ao número 215 / esquina com Rua da Hora,1663718269,"['key', 'transitcard', 'phone']",False,1,1,54,4,-8.047208,-34.894206,2022-09-21T00:01:38.257000Z
17,d57356f7475b84e7ad880d7e79f70dfc,51 - Praça da FEB,9,"Rua Quarenta e Oito, oposto ao número 725 / Praça da FEB",1663718411,"['key', 'transitcard', 'phone']",False,1,1,51,1,-8.040197,-34.894887,2022-09-21T00:01:38.259000Z
18,6bea291ee8858003ec1c8b1aad30ac9f,43 - Rua Samuel Pinto,8,"Rua Samuel Pinto, oposto ao Conselho Estadual de Saúde de Pernambuco / esquina com Rua João Fernandes Vieira",1663718340,"['key', 'transitcard', 'phone']",False,1,1,43,7,-8.052101,-34.892576,2022-09-21T00:01:38.299000Z
19,498602cec4b92993241062df1b7a15a6,60 - Pina,12,"Av Boa Viagem, oposto ao 802 / na baia de estacionamento oposta ao Arcádia recepções",1663718309,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,60,13,-8.099069,-34.884039,2022-09-21T00:01:38.282000Z
